channel_id,video_id,query,slant,conservative_landmark_follows,liberal_landmark_follows,cached,error,description
UCmyD0_-2Oowkfwc_Raghclw,L6LKXbSwQPQ,L6LKXbSwQPQ,,,,,True,Tweets found but could not map landmarks!
UCmyD0_-2Oowkfwc_Raghclw,iGW1vf1iOSs,iGW1vf1iOSs,-0.93092,20.0,559.0,True,,
UCmyD0_-2Oowkfwc_Raghclw,GMN5diXTcdQ,GMN5diXTcdQ,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,czhAwnBmui4,czhAwnBmui4,-1.0,0.0,4.0,,,
UCmyD0_-2Oowkfwc_Raghclw,4hD_en0VyK0,4hD_en0VyK0,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,b188lUNCt-s,b188lUNCt-s,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,y_JSnTYn3Ts,y_JSnTYn3Ts,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,1c8ViJqRc20,1c8ViJqRc20,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,3qbg7ye25xk,3qbg7ye25xk,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,zxmpB5av-Yo,zxmpB5av-Yo,-0.8,1.0,9.0,True,,
UCmyD0_-2Oowkfwc_Raghclw,4t_Al9OQj4U,4t_Al9OQj4U,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,GZRTAo1N1v4,GZRTAo1N1v4,-1.0,0.0,4.0,True,,
UCmyD0_-2Oowkfwc_Raghclw,A-wKVXFPZaA,A-wKVXFPZaA,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,93wky2pG8VE,93wky2pG8VE,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,ALPacGn_lgE,ALPacGn_lgE,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,Nqjq_EMrvxs,Nqjq_EMrvxs,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,oUSkagEMz68,oUSkagEMz68,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,1rSBNsKFkTk,1rSBNsKFkTk,-1.0,0.0,1.0,,,
UCmyD0_-2Oowkfwc_Raghclw,3vQf5rCfm6A,3vQf5rCfm6A,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,kcp7wOxVWyo,kcp7wOxVWyo,-1.0,0.0,4.0,,,
UCmyD0_-2Oowkfwc_Raghclw,FJIEli2Z5JE,FJIEli2Z5JE,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,dNntrfqqnS8,dNntrfqqnS8,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,-1Z0ts0Mqxk,-1Z0ts0Mqxk,,,,,True,Tweets found but could not map landmarks!
UCmyD0_-2Oowkfwc_Raghclw,whc2KcRVn1o,whc2KcRVn1o,-0.3684210526315789,6.0,13.0,,,
UCmyD0_-2Oowkfwc_Raghclw,EyrYUFe0Amc,EyrYUFe0Amc,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,znFfYdCFO1o,znFfYdCFO1o,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,4SDEDm0W93s,4SDEDm0W93s,-0.9282511210762332,8.0,215.0,,,
UCmyD0_-2Oowkfwc_Raghclw,1x3ak2Kft5s,1x3ak2Kft5s,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,ndCON6YcFEw,ndCON6YcFEw,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,zGsfAyNHSJw,zGsfAyNHSJw,-0.8685121107266436,19.0,270.0,,,
UCmyD0_-2Oowkfwc_Raghclw,Tc2W5w10YBw,Tc2W5w10YBw,,,,,True,Tweets found but could not map landmarks!
UCmyD0_-2Oowkfwc_Raghclw,dNfGYY3kUrI,dNfGYY3kUrI,-1.0,0.0,3.0,,,
UCmyD0_-2Oowkfwc_Raghclw,GPoCPJTgylY,GPoCPJTgylY,,,,,True,Tweets found but could not map landmarks!
UCmyD0_-2Oowkfwc_Raghclw,evDgpvPfvVg,evDgpvPfvVg,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,6BQpySnE3MM,6BQpySnE3MM,-1.0,0.0,7.0,True,,
UCmyD0_-2Oowkfwc_Raghclw,eKNKdrwMSDE,eKNKdrwMSDE,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,yvpg986FJIY,yvpg986FJIY,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,CRTMHIj4bzw,CRTMHIj4bzw,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,XdaV7n0L9AA,XdaV7n0L9AA,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,OtUSCUjJHkM,OtUSCUjJHkM,-0.9240506329113924,30.0,760.0,,,
UCmyD0_-2Oowkfwc_Raghclw,2RXu3XgV-j8,2RXu3XgV-j8,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,j4_5IdsOYww,j4_5IdsOYww,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,OBpphhzPLZU,OBpphhzPLZU,-0.8997995991983968,25.0,474.0,,,
UCmyD0_-2Oowkfwc_Raghclw,pm3MMqOvhgE,pm3MMqOvhgE,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,Vak7Im82V9E,Vak7Im82V9E,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,JkfQdlN70Mk,JkfQdlN70Mk,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,-qQTqxYwnJA,-qQTqxYwnJA,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,rhLRmaFjm8g,rhLRmaFjm8g,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,On1FD86GNm8,On1FD86GNm8,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,d-pmBTycdlc,d-pmBTycdlc,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,9OM5dRlMTJA,9OM5dRlMTJA,-0.8972162740899358,24.0,443.0,,,
UCmyD0_-2Oowkfwc_Raghclw,hLX_wWOliSc,hLX_wWOliSc,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,_9ER-Wd9I4w,_9ER-Wd9I4w,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,bSvEx2mi2PI,bSvEx2mi2PI,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,JLYlTMvc1mI,JLYlTMvc1mI,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,bR6r1i9A7h4,bR6r1i9A7h4,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,yuJFr7Z4wQk,yuJFr7Z4wQk,-1.0,0.0,4.0,,,
UCmyD0_-2Oowkfwc_Raghclw,88S0Q7lcZrU,88S0Q7lcZrU,-0.8740359897172236,49.0,729.0,,,
UCmyD0_-2Oowkfwc_Raghclw,0piLWiFyYEo,0piLWiFyYEo,-0.8148148148148148,5.0,49.0,,,
UCmyD0_-2Oowkfwc_Raghclw,osDw4qEV8z8,osDw4qEV8z8,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,c-Yi_mlbirs,c-Yi_mlbirs,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,oKAtIhKUluk,oKAtIhKUluk,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,G2Ru9-HpPe0,G2Ru9-HpPe0,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,VhcxIM7FwIc,VhcxIM7FwIc,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,5xnjbpO2Y1g,5xnjbpO2Y1g,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,ZRKNHBw47bk,ZRKNHBw47bk,-1.0,0.0,1.0,,,
UCmyD0_-2Oowkfwc_Raghclw,FbibmemFFag,FbibmemFFag,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,oHgQHSkCmZY,oHgQHSkCmZY,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,jTrqKMzMRYU,jTrqKMzMRYU,-0.9672131147540983,1.0,60.0,,,
UCmyD0_-2Oowkfwc_Raghclw,SbwprCHECOk,SbwprCHECOk,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,TmmvbrgteB0,TmmvbrgteB0,-1.0,0.0,10.0,True,,
UCmyD0_-2Oowkfwc_Raghclw,_uDsLhhcw9k,_uDsLhhcw9k,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,Y09Gvst7UbE,Y09Gvst7UbE,-1.0,0.0,9.0,,,
UCmyD0_-2Oowkfwc_Raghclw,jhQUMAKMgfU,jhQUMAKMgfU,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,be3SN3RtAz0,be3SN3RtAz0,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,r9Zr7ElgfOA,r9Zr7ElgfOA,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,7jO-t4SA39I,7jO-t4SA39I,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,BGHbaCP48VM,BGHbaCP48VM,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,r4L1FMlfln8,r4L1FMlfln8,-1.0,0.0,4.0,True,,
UCmyD0_-2Oowkfwc_Raghclw,-5LqpQ0vkJY,-5LqpQ0vkJY,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,QZAOuRnCAmc,QZAOuRnCAmc,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,Lh7X7USBlGI,Lh7X7USBlGI,-1.0,0.0,4.0,,,
UC9qcJxTqfDNBnVul1IojlFg,Y-gREFiCRsU,Y-gREFiCRsU,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,BCQBQNzGLWI,BCQBQNzGLWI,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,4cep-8vjsXQ,4cep-8vjsXQ,-0.5384615384615384,27.0,90.0,,,
UC9qcJxTqfDNBnVul1IojlFg,wjs_HCPoFyA,wjs_HCPoFyA,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,5Ff0lu9FPro,5Ff0lu9FPro,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,Ypn-7wPsWas,Ypn-7wPsWas,-0.893569844789357,24.0,427.0,,,
UC9qcJxTqfDNBnVul1IojlFg,7hA79YUVojg,7hA79YUVojg,-1.0,0.0,13.0,,,
UC9qcJxTqfDNBnVul1IojlFg,JdQB73hIPsg,JdQB73hIPsg,-1.0,0.0,12.0,,,
UC9qcJxTqfDNBnVul1IojlFg,VL_GRhpr2ho,VL_GRhpr2ho,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,mRQUeVTogGs,mRQUeVTogGs,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,gizeC4Wt5ng,gizeC4Wt5ng,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,vDFNo6kdO9o,vDFNo6kdO9o,-0.75,1.0,7.0,,,
UC9qcJxTqfDNBnVul1IojlFg,-p-dUOMrfy8,-p-dUOMrfy8,-1.0,0.0,14.0,,,
UC9qcJxTqfDNBnVul1IojlFg,kklL1yXsUbk,kklL1yXsUbk,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,yQnC6MdpwsA,yQnC6MdpwsA,-1.0,0.0,2.0,,,
UC9qcJxTqfDNBnVul1IojlFg,bttbvYBSXR0,bttbvYBSXR0,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,A8I_B0jE2DE,A8I_B0jE2DE,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,5D7XlLZlKDI,5D7XlLZlKDI,-0.9290989660265879,24.0,653.0,,,
UC9qcJxTqfDNBnVul1IojlFg,OgO9yPutxCU,OgO9yPutxCU,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,nOxIRDFYoAA,nOxIRDFYoAA,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,N1Q8TY3aocY,N1Q8TY3aocY,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,7BbJzIpfPKI,7BbJzIpfPKI,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,HhnRky5rUMo,HhnRky5rUMo,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,BBq7L_f4j6Q,BBq7L_f4j6Q,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,G8SnCqN4OOU,G8SnCqN4OOU,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,YJqz8dqxv9k,YJqz8dqxv9k,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,pZGKH5Fz9S0,pZGKH5Fz9S0,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,uqpifmPKXG4,uqpifmPKXG4,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,VAOOADVRvPY,VAOOADVRvPY,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,o7jVCvo0ZTw,o7jVCvo0ZTw,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,Jr923dInINc,Jr923dInINc,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,2W1bjLc4oeg,2W1bjLc4oeg,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,KEhRazZFb2g,KEhRazZFb2g,-0.979381443298969,2.0,192.0,,,
UC9qcJxTqfDNBnVul1IojlFg,0mU5yUOMQMU,0mU5yUOMQMU,-1.0,0.0,25.0,,,
UC9qcJxTqfDNBnVul1IojlFg,xqrzMLDihXk,xqrzMLDihXk,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,xv7cFsXE39Q,xv7cFsXE39Q,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,Lzsr6uGPfeM,Lzsr6uGPfeM,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,FluwMScFt84,FluwMScFt84,-0.9279279279279279,8.0,214.0,,,
UC9qcJxTqfDNBnVul1IojlFg,bHZDOi6SFOs,bHZDOi6SFOs,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,okLX5d2WH8Y,okLX5d2WH8Y,-1.0,0.0,4.0,,,
UC9qcJxTqfDNBnVul1IojlFg,5ozwQRkNLlQ,5ozwQRkNLlQ,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,a5lUUm-UIOk,a5lUUm-UIOk,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,Ucr4zaPJAZ0,Ucr4zaPJAZ0,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,458OalXdLvM,458OalXdLvM,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,ZpMuvM_uXCo,ZpMuvM_uXCo,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,AKZ9wpaoKb8,AKZ9wpaoKb8,-1.0,0.0,2.0,,,
UC9qcJxTqfDNBnVul1IojlFg,p1oSwdi71RA,p1oSwdi71RA,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,O-GIVyOjIqs,O-GIVyOjIqs,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,UscySK3ZKRs,UscySK3ZKRs,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,YeopJW6RDzU,YeopJW6RDzU,-0.7777777777777778,1.0,8.0,,,
UC9qcJxTqfDNBnVul1IojlFg,5CZ-Gr8ZxQM,5CZ-Gr8ZxQM,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,RusCJ2Gcjfg,RusCJ2Gcjfg,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,n2np_X2-J4s,n2np_X2-J4s,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,RfWqAJ-rdJc,RfWqAJ-rdJc,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,ZKzhrNR896A,ZKzhrNR896A,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,jY7nKsK1LWc,jY7nKsK1LWc,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,zGoILVUodpA,zGoILVUodpA,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,IbMACkVCsDQ,IbMACkVCsDQ,-0.8222222222222222,32.0,328.0,,,
UC9qcJxTqfDNBnVul1IojlFg,X46weunv3HI,X46weunv3HI,-1.0,0.0,6.0,,,
UC9qcJxTqfDNBnVul1IojlFg,62fHq4PdOlA,62fHq4PdOlA,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,xP_YcGRBq_8,xP_YcGRBq_8,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,XojOFd7S_XE,XojOFd7S_XE,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,pF-LwIqpySY,pF-LwIqpySY,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,OVebnQ6rR3I,OVebnQ6rR3I,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,Gn84BzRsIds,Gn84BzRsIds,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,6c1Iu1ix7Gg,6c1Iu1ix7Gg,,,,,True,Tweets found but could not map landmarks!
UC9qcJxTqfDNBnVul1IojlFg,fy8Rinx-v9Q,fy8Rinx-v9Q,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,BUfN6y876KU,BUfN6y876KU,1.0,1.0,0.0,,,
UC9qcJxTqfDNBnVul1IojlFg,AGkNtLV2fYA,AGkNtLV2fYA,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,FMDxGuJYVXw,FMDxGuJYVXw,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,uVheXUlikjc,uVheXUlikjc,-0.71875,9.0,55.0,,,
UC9qcJxTqfDNBnVul1IojlFg,shQaKhBeUcE,shQaKhBeUcE,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,rNPKhbP4T_E,rNPKhbP4T_E,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,I5UIK2KjG0s,I5UIK2KjG0s,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,Q03S6nnfs4s,Q03S6nnfs4s,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,ASQk2uc-EOs,ASQk2uc-EOs,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,asmf7Ys8wBY,asmf7Ys8wBY,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,QZbuAts0rVY,QZbuAts0rVY,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,Krf9tt0fdi8,Krf9tt0fdi8,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,WpEzWkI85kc,WpEzWkI85kc,-1.0,0.0,25.0,,,
UC9qcJxTqfDNBnVul1IojlFg,M_SnJOZ8bus,M_SnJOZ8bus,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,KZA2rVh1b3k,KZA2rVh1b3k,,,,,True,Tweets found but could not map landmarks!
UC9qcJxTqfDNBnVul1IojlFg,QMjuEUhe7MQ,QMjuEUhe7MQ,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,Xxmm693i1-U,Xxmm693i1-U,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,4ZnyjPRUfyo,4ZnyjPRUfyo,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,UMUhEaTkbXg,UMUhEaTkbXg,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,yoorocGKWVI,yoorocGKWVI,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,2rm0qihMUaU,2rm0qihMUaU,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,L6p58t9uMGs,L6p58t9uMGs,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,or6LoRxC4Ik,or6LoRxC4Ik,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,_uDUWWve53s,_uDUWWve53s,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,LZ4EoH02m3s,LZ4EoH02m3s,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,DKwlOONkQr0,DKwlOONkQr0,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,bQ1hm3UBtg8,bQ1hm3UBtg8,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,3dSR8y5trD4,3dSR8y5trD4,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,8XPL4C7DsEc,8XPL4C7DsEc,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,QTZf4FpA7v0,QTZf4FpA7v0,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,h2HLOEI6fwE,h2HLOEI6fwE,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,cEqaI6BhW2k,cEqaI6BhW2k,,,,,True,Tweets not found!
UC9qcJxTqfDNBnVul1IojlFg,4ivn7FNHIXg,4ivn7FNHIXg,-0.8181818181818182,1.0,10.0,,,
UC28wx-IbHP3_GIKDhJSEc4g,Ca_QfHBLbuQ,Ca_QfHBLbuQ,,,,,True,Tweets not found!
UC28wx-IbHP3_GIKDhJSEc4g,-H_OwD2b5fQ,-H_OwD2b5fQ,,,,,True,Tweets not found!
UC28wx-IbHP3_GIKDhJSEc4g,IpiSkaUcaYI,IpiSkaUcaYI,0.02857142857142857,18.0,17.0,,,
UC28wx-IbHP3_GIKDhJSEc4g,N6qCtnXxg88,N6qCtnXxg88,-0.36363636363636365,7.0,15.0,,,
UC28wx-IbHP3_GIKDhJSEc4g,TwZRLTlXGxw,TwZRLTlXGxw,-0.7254901960784313,14.0,88.0,,,
UC28wx-IbHP3_GIKDhJSEc4g,1UDTiJ5z3MY,1UDTiJ5z3MY,-0.29411764705882354,42.0,77.0,,,
UC28wx-IbHP3_GIKDhJSEc4g,u-eKyKKfKl0,u-eKyKKfKl0,-1.0,0.0,26.0,,,
UC28wx-IbHP3_GIKDhJSEc4g,PWMYG2dER7s,PWMYG2dER7s,,,,,True,Tweets not found!
UC28wx-IbHP3_GIKDhJSEc4g,AAkN6R6YPZQ,AAkN6R6YPZQ,,,,,True,Tweets found but could not map landmarks!
UC28wx-IbHP3_GIKDhJSEc4g,8IF6ohaSLWk,8IF6ohaSLWk,,,,,True,Tweets not found!
UC28wx-IbHP3_GIKDhJSEc4g,_SVTdgG6oaQ,_SVTdgG6oaQ,,,,,True,Tweets not found!
UC28wx-IbHP3_GIKDhJSEc4g,mcwPsXiR5DE,mcwPsXiR5DE,0.3333333333333333,8.0,4.0,,,
UC28wx-IbHP3_GIKDhJSEc4g,SsswnxEQUCM,SsswnxEQUCM,-1.0,0.0,3.0,,,
UC28wx-IbHP3_GIKDhJSEc4g,mlPKmjyrWk0,mlPKmjyrWk0,,,,,True,Tweets not found!
UC28wx-IbHP3_GIKDhJSEc4g,sCloCqw-ZXw,sCloCqw-ZXw,,,,,True,Tweets not found!
UC28wx-IbHP3_GIKDhJSEc4g,quyP9a64Ud8,quyP9a64Ud8,-1.0,0.0,1.0,,,
UC28wx-IbHP3_GIKDhJSEc4g,SDOgOpmJxeY,SDOgOpmJxeY,-0.7333333333333333,6.0,39.0,,,
UC28wx-IbHP3_GIKDhJSEc4g,cDFDDtYwFcM,cDFDDtYwFcM,,,,,True,Tweets not found!
UC28wx-IbHP3_GIKDhJSEc4g,vwsuhL0F59A,vwsuhL0F59A,,,,,True,Tweets not found!
UC28wx-IbHP3_GIKDhJSEc4g,Rp8fYm6CsXI,Rp8fYm6CsXI,,,,,True,Tweets not found!
UC28wx-IbHP3_GIKDhJSEc4g,-Tk2sPJEVTY,-Tk2sPJEVTY,-0.6785714285714286,9.0,47.0,,,
UC28wx-IbHP3_GIKDhJSEc4g,lsTKOTquyyI,lsTKOTquyyI,-0.4444444444444444,5.0,13.0,,,
UC28wx-IbHP3_GIKDhJSEc4g,POm-oDtV8TM,POm-oDtV8TM,,,,,True,Tweets found but could not map landmarks!
UC28wx-IbHP3_GIKDhJSEc4g,rMW9q95mFxE,rMW9q95mFxE,,,,,True,Tweets not found!
